Day,Start Time,End Time,School,Address,City,Gi or Nogi,Notes,Posted by,Email,Confirmed
Saturday,11:30 AM,,360 Jiu Jitsu - Grand Prairie,830 Mayfield Rd Suite 120,Grand Prairie,No Gi,,Carrye Perkins,,
Saturday,10:00 AM,12:00 PM,Aguilera Martial Arts Prosper,711 Industry Way Suite 50,Prosper,,,,,
Friday ,7:00 PM,8:00 PM,Alliance Jiu-Jitsu ,1961 S Main St #400,Keller,No Gi,,Sam,,
Sunday ,3:00 PM,,Apex Grappling Academy,2922 State Hwy 205,Rockwall,Both,,Troy,,
Saturday ,11:00 AM,1:00 PM,Bushido,2318 Beatrice St,Dallas,Both,,,,
Sunday ,11:00 AM,1:00 PM,Bushido,2318 Beatrice St,Dallas,Both,,,,
Saturday,11:00 AM,12:30 PM,Checkmat /    VA Academy Jiu Jitsu - Fitness,711 Business Way,Wylie,Both,,Vinicius Agudo,,
Sunday,1:30 PM,,Combat Base Sulphur Springs ,Sulphur Springs,Sulphur Springs,Mostly GI,,Daniel S,,
Sunday,11:00 AM,1:00 PM,Combat Base/Shebaro JiuJitsu,"Mckinney, TX",McKinney,Gi,,Marc,,
Saturday,10:00 AM,12:00 PM,Double Five Highland Village,1800 Justin Rd #1800A,Highland Village,Both,,Mark,,
Friday ,5:30 PM,7:00 PM,Eclipse BJJ,,Krum,Gi,,,contact@eclipsebjj.copm,
Saturday ,10:30 AM,12:30 PM,Elevate BJJ ,"Midlothian, TX",Midlothian,Both,,Dee Allen,,
Sunday ,3:00 PM,,Fitness Fight Factory ,6801 Rufe Snow Dr.,Watauga,Both,,Jake ,,
Sunday ,11:00 AM,12:00 PM,Flow , 2400 W Pioneer Pkwy,Pantego,Both,,,,
Friday ,7:00 PM,8:30 PM,Fort Worth Judo ,5302 Trail Lake Dr,Fort Worth,Gi,,,,
Saturday ,11:00 AM,12:00 PM,Genesis in River Oaks,5512 River Oaks Blvd,Fort Worth,Both,,,,
Saturday ,11:00 AM,12:00 PM,Genesis Jiu Jitsu Azle,13551 Farm to Market Rd 730 S,Azle,Both,,Michael Alarcon,,
